KIM;Vorname;Nachname;Geburtsdatum;SaveDate;email;userId;company
111111;Vor;Nach;10.09.2018;10.09.2018 09:01:22.532;null;null;null
859736;zzzz;zzzz;;;zzzz.zzzz@firma.com;ZZZZZZ;null
683802;sss;aaaaaaaaaa;;;sss.aaaaaaaaaa@firma.com;SSSAAA;null
651780;uuuu;uuuuuuuuuuuuu;;;uuuu.uuuuuuuuuuuuu@firma.com;UUUUUU;null
586454;arrr;rrrraaaakkk;;;arrr.rrrraaaakkk@firma.com;ARRRRR;null
282821;neu;neuuuuuu;;;neu.neuuuuuu@firma.com;NEUNEU;null
187405;ruru;lalala;;;ruru.lalala@firma.com;RURLAL;null
093224;blo;blu;;;blo.blu@firma.com;BLOBLU;null
935006;brrr;rrrrr;;;brrr.rrrrr@firma.com;BRRRRR;null
935106;hehe;hoho;;;hehe.hoho@firma.com;HEHHOH;null
499658;Fred;Feuerstein;;;Fred.Feuerstein@firma.com;FREFEU;null
672546;Patricia;Ritzer-Bauer;;;Patricia.Ritzer-Bauer@firma.com;PATRIT;null
